seller_id,seller_click_cnt,seller_add_to_cart_cnt,seller_purchase_cnt,seller_add_to_favorite_cnt,seller_action_total_cnt,seller_purchase_rt
1,308236,444,17705,12755,339140,0.05220557881700773
2,2030,8,189,144,2371,0.07971320118093632
3,2399,4,67,175,2645,0.025330812854442344
4,2646,2,294,164,3106,0.09465550547327753
5,7483,9,144,556,8192,0.017578125
6,1390,6,82,120,1598,0.05131414267834793
7,3521,7,399,179,4106,0.0971748660496834
8,3540,3,395,306,4244,0.09307257304429783
9,2096,7,94,65,2262,0.04155614500442087
10,19125,64,1133,866,21188,0.0534736643383047
11,11397,18,1256,843,13514,0.09294065413645108
12,8548,7,592,508,9655,0.061315380631797
13,6589,15,937,301,7842,0.11948482529966845
14,5709,3,379,305,6396,0.059255784865540964
15,1616,4,178,52,1850,0.09621621621621622
16,3446,10,285,146,3887,0.0733213275019295
17,1135,1,93,77,1306,0.07120980091883614
18,3550,2,101,308,3961,0.025498611461752082
19,3319,6,453,241,4019,0.11271460562328937
20,7509,15,480,342,8346,0.05751258087706686
21,1804,3,358,174,2339,0.15305686190679776
22,1876,3,192,105,2176,0.08823529411764706
23,3789,4,209,289,4291,0.04870659519925425
24,4480,19,499,191,5189,0.0961649643476585
25,2404,9,302,163,2878,0.10493398193189715
26,5103,1,245,182,5531,0.04429578738022057
27,10022,19,401,333,10775,0.03721577726218098
28,97130,95,1621,5896,104742,0.015476122281415287
29,2841,2,213,244,3300,0.06454545454545454
30,3385,8,79,254,3726,0.021202361782071927
31,2285,8,221,100,2614,0.08454475899005356
32,3403,12,143,153,3711,0.038534087846941525
33,32941,51,2342,2917,38251,0.06122715745993569
34,10665,22,2349,809,13845,0.1696641386782232
35,8927,11,765,685,10388,0.07364266461301502
36,870,0,120,61,1051,0.11417697431018078
37,3246,2,573,297,4118,0.1391452161243322
38,3073,12,126,250,3461,0.036405663103149376
39,1602,1,305,107,2015,0.1513647642679901
40,16906,36,332,1036,18310,0.018132168214090662
41,3705,7,223,166,4101,0.05437698122409169
42,6148,1,120,190,6459,0.018578727357176035
43,7744,19,807,461,9031,0.08935887498615878
44,13809,9,873,803,15494,0.056344391377307346
45,583,0,70,42,695,0.10071942446043165
46,3473,8,555,136,4172,0.13302972195589646
47,3220,1,602,333,4156,0.14485081809432146
48,1402,6,146,93,1647,0.08864602307225258
49,1098,0,32,63,1193,0.026823134953897737
50,3448,6,329,267,4050,0.08123456790123457
51,7652,15,426,777,8870,0.04802705749718151
52,925,2,77,77,1081,0.07123034227567067
